case,label,http_code,time_total_s,bytes,top_k,total_matched,returned,len_summary,pool_exhausted,loops,no_op,overshoot,stop_reason,relaxed_dims,applied_filters,domain
00_status,0. /personadb/status（upstream 無標籤）,200,0.648835,791,,,,0,,0,0,0,,,{},
01_kangshimei,"=== 1. 康是美的目標客戶 ===（藥妝零售語意 — 不應套 aesthetic_procedure, #36）",200,114.441072,3756,3,81,3,3,False,0,0,0,target_reached,,"{""age"": [""25-34"", ""35-44"", ""45-54""], ""sex"": [""女""], ""occupation"": [""服務"", ""金融"", ""科技"", ""家管""], ""income"": [""<3萬"", ""3-8萬""], ""clothing_spend"": [""500~1500"", ""1500~3000"", ""3000~5000"", "">5000""], ""family_income"": [""3-5萬"", ""5-7萬"", ""7萬"", "">8萬""]}",零售/藥妝/美妝通路
02_tesla,=== 2. TESLA的目標客戶 ===,200,81.167043,3905,3,28,3,3,False,1,0,0,target_reached,commute_mode,"{""age"": [""25-34"", ""35-44"", ""45-54""], ""occupation"": [""科技"", ""金融"", ""醫療""], ""income"": ["">8萬"", ""3-8萬""], ""family_income"": ["">8萬"", ""7萬"", ""5-7萬""], ""clothing_spend"": ["">5000"", ""3000~5000""], ""education"": [""大學"", ""研究所以上""], ""region"": [""都會區(六都)""]}",汽車/電動車產業
03_fashion,=== 3. 時尚服裝設計師的目標客戶 ===,200,103.107169,7501,10,261,10,10,False,0,0,0,target_reached,,"{""age"": [""25-34"", ""35-44"", ""45-54""], ""income"": [""3-8萬"", "">8萬""], ""clothing_spend"": [""500~1500"", ""1500~3000"", ""3000~5000"", "">5000""], ""family_income"": [""3-5萬"", ""5-7萬"", "">8萬""]}",時尚服飾設計與消費
04_role_fangzhong,=== 4. 房貸優惠 — 房仲業者 ===,200,142.106820,5429,5,33,5,5,False,2,0,0,target_reached,housing_cost/family_size,"{""age"": [""25-34"", ""35-44"", ""45-54""], ""income"": [""3-8萬"", "">8萬""], ""marriage"": [""已婚""], ""family_income"": [""5-7萬"", ""7萬"", "">8萬""], ""housing_burden"": [""低""]}",房產/金融服務（房貸）
05_role_banker,=== 5. 房貸優惠 — 銀行業者 ===,200,97.638374,5589,5,29,5,5,False,2,0,0,target_reached,debt_status/occupation,"{""age"": [""35-44"", ""45-54"", ""55-64""], ""income"": ["">8萬""], ""marriage"": [""已婚""], ""family_income"": ["">8萬""], ""housing_cost"": [""5千~1.5萬"", ""1.5萬~3萬""], ""housing_burden"": [""中"", ""高""]}",房貸／金融／房地產
06_aesthetic,=== 6. 醫美診所的目標客戶（dimension 20: aesthetic_procedure）===,200,183.022822,8768,10,16,10,10,False,3,1,0,no_op_limit,income/age,"{""aesthetic_procedure"": [""有""]}",醫美/醫療美容產業
07_debt,=== 7. 債務整合的目標客戶（dimension 21: debt_status）===,200,145.629023,8381,10,58,10,10,False,2,0,1,target_reached,debt_status,"{""age"": [""25-34"", ""35-44"", ""45-54"", ""55-64""], ""income"": ["">8萬""], ""housing_burden"": [""中"", ""高""], ""housing_cost"": [""5千~1.5萬"", ""1.5萬~3萬""], ""family_income"": ["">8萬""]}",金融/銀行/貸款
08_boss,=== 8. 小吃攤老闆的目標客群 — 【顧客語意】不應套 employment_status ===,200,129.909206,8103,10,107,10,10,False,0,0,0,target_reached,,"{""age"": [""19-24"", ""25-34"", ""35-44""], ""occupation"": [""學生"", ""服務"", ""科技"", ""金融"", ""製造""], ""income"": [""無收入"", ""<3萬"", ""3-8萬""], ""marriage"": [""未婚"", ""已婚""], ""clothing_spend"": [""<500"", ""500~1500"", ""1500~3000""], ""commute_mode"": [""步行/腳踏車"", ""機車"", ""捷運/公車""], ""family_income"": [""1-3萬"", ""3-5萬"", ""5-7萬""], ""housing_cost"": [""<5千"", ""5千~1.5萬""]}",餐飲/夜市小吃/零售消費
09_owner,=== 9. 業主本人 — dimension 22: employment_status（語意無歧義，issue #34）===,200,53.067805,7514,10,61,10,10,False,0,0,0,target_reached,,"{""age"": [""35-44"", ""45-54"", ""55-64""], ""employment_status"": [""雇主"", ""自營作業者""]}",B2B 市場研究／企業主招募
